0	1	2	3	4	5	6	7	8	9	10	11	12	x	SO4	Final Timeseries_G94C	Final Timeseries_G94D	Final Timeseries_ACME1	Final Timeseries_S362	Final Timeseries_G300	Final Timeseries_S5AS	Final Timeseries_S5A	Final Timeseries_G301	Final Timeseries_G310	Final Timeseries_G251	Final Timeseries_S6	Final Timeseries_G338
62	0	0	0	0	0	0	63.07907955	0	0	60.195	46.10370455	0	x	123	0	0	0	0	0	0	0	0	0	44.60428571	34.22478022	0
62.999	0	0	0	0	0	0	63.07907955	0	0	60.195	46.10370455	0	x	124	0	0	0	0	0	0	0	0	0	43.96342857	0	0
63	0	0	0	0	0	0	62.28543182	0	0	59.9365	45.71068182	0	x	125	0	83.02	80.204	0	0	0	0	0	0	43.32257143	34.2450989	0
63.999	0	0	0	0	0	0	62.28543182	0	0	59.9365	45.71068182	0	x	126	0	0	0	0	0	0	0	0	0	42.68171429	34.25525824	0
64	0	0	0	0	0	0	61.49178409	0	0	59.678	45.31765909	0	x	127	0	0	0	0	0	0	0	0	0	42.04085714	0	0
64.999	0	0	0	0	0	0	61.49178409	0	0	59.678	45.31765909	0	x	128	0	0	0	0	0	0	0	0	0	41.4	0	0
65	0	0	0	0	0	0	60.69813636	0	0	59.4195	44.92463636	0	x	129	0	0	0	0	0	0	0	0	0	40.68878571	0	0
65.999	0	0	0	0	0	0	60.69813636	0	0	59.4195	44.92463636	0	x	130	0	0	0	0	0	0	0	0	0	39.97757143	0	0
66	0	0	0	0	0	0	59.90448864	0	0	59.161	44.53161364	0	x	131	0	0	0	0	0	0	0	0	0	39.26635714	0	0
66.999	0	0	0	0	0	0	59.90448864	0	0	59.161	44.53161364	0	x	132	0	0	0	0	0	0	0	0	0	38.55514286	0	0
67	0	83.02	80.204	0	0	0	59.11084091	0	0	58.9025	44.13859091	0	x	133	0	0	0	0	0	0	0	0	0	37.84392857	0	0
67.999	0	83.02	80.204	0	0	0	59.11084091	0	0	58.9025	44.13859091	0	x	134	0	0	0	0	0	0	0	0	0	37.13271429	0	0
68	0	0	0	0	0	0	58.31719318	0	0	58.644	43.74556818	0	x	135	0	0	0	0	0	0	0	0	0	36.4215	0	0
68.999	0	0	0	0	0	0	58.31719318	0	0	58.644	43.74556818	0	x	136	0	0	0	0	0	0	0	0	0	35.71028571	0	0
